Step,Time_elapsed,Validset_error,Testset_error
0,1425.939847946167,0.768833087149,0.767725258493
1,2791.8089470863342,0.675960118168,0.675775480059
2,4155.743143558502,0.732274741507,0.744091580502
3,5512.404868841171,0.730797636632,0.742799113737
4,6998.222593307495,0.730428360414,0.740583456425
5,8389.995868682861,0.69146971935,0.698301329394
6,9774.436116456985,0.677437223043,0.682976366322
7,11162.85779619217,0.689807976366,0.69940915805
8,12548.751602888107,0.673559822747,0.677806499261
9,13932.226202011108,0.678914327917,0.68611521418
10,15320.91019654274,0.673005908419,0.678914327917
11,16710.14592552185,0.663035450517,0.666543574594
12,18101.79416513443,0.626292466765,0.627400295421
13,19487.59353041649,0.659896602659,0.665620384047
14,20877.747532844543,0.634416543575,0.646418020679
15,22264.333076953888,0.66229689808,0.666174298375
16,23650.17035984993,0.651957163959,0.656757754801
17,25033.705518722534,0.649187592319,0.65694239291
18,26420.22211790085,0.657496307238,0.663404726736
19,27805.251094818115,0.642725258493,0.64623338257
20,29199.967472076416,0.637924667651,0.641248153619
21,30583.03291940689,0.645125553914,0.6488183161
22,31974.300201416016,0.65435745938,0.65694239291
23,33358.50669145584,0.663035450517,0.661927621861
24,34737.87966132164,0.621122599705,0.628138847858
25,36125.9593398571,0.620199409158,0.625553914328
26,37520.41605639458,0.65158788774,0.655280649926
27,38907.19964694977,0.612075332349,0.618168389956
28,40298.36359548569,0.610967503693,0.617983751846
29,41688.14661502838,0.6091211226,0.611521418021
30,43078.156338214874,0.606720827179,0.612075332349
31,44460.51602911949,0.6170605613,0.620199409158
32,45840.90793585777,0.608197932053,0.610228951256
33,47231.8536195755,0.619830132939,0.621122599705
34,48619.81896734238,0.607828655835,0.60893648449
35,50000.60058140755,0.608382570162,0.6091211226
36,51395.71144986153,0.610782865583,0.612813884786
37,52778.556515455246,0.622968980798,0.626107828656
38,54185.4188182354,0.615214180207,0.617429837518
39,55607.01511502266,0.622784342688,0.621307237814
40,57018.18816566467,0.612629246677,0.610598227474
41,58439.308861255646,0.638109305761,0.642171344165
42,59963.279223680496,0.621122599705,0.625
43,61351.283101558685,0.621122599705,0.625369276219
44,62727.15501618385,0.626477104874,0.628877400295
45,64103.40763783455,0.616137370753,0.623707533235
46,65473.73399543762,0.62241506647,0.627954209749
